price,sqft_living,sqft_above,bedrooms,bathrooms,sqft_lot,floors,waterfront,condition,sqft_basement,yr_built,yr_renovated,zipcode,lat,long
221900,1180,1180,3,1,5650,1,0,3,0,1955,0,98178,47.5112,-122.257
538000,2570,2170,3,2.25,7242,2,0,3,400,1951,1991,98125,47.721,-122.319
180000,770,770,2,1,10000,1,0,3,0,1933,0,98028,47.7379,-122.233
1230000,5420,3890,4,4.5,101930,1,0,3,1530,2001,0,98053,47.6561,-122.005
291850,1060,1060,3,1.5,9711,1,0,3,0,1963,0,98198,47.4095,-122.315
229500,1780,1050,3,1,7470,1,0,3,730,1960,0,98146,47.5123,-122.337
323000,1890,1890,3,2.5,6560,2,0,3,0,2003,0,98038,47.3684,-122.031
468000,1160,860,2,1,6000,1,0,4,300,1942,0,98115,47.69,-122.292
310000,1430,1430,3,1,19901,1.5,0,4,0,1927,0,98028,47.7558,-122.229
395000,1890,1890,3,2,14040,2,0,3,0,1994,0,98019,47.7277,-121.962
285000,2270,2270,5,2.5,6300,2,0,3,0,1995,0,98092,47.3266,-122.169
937000,2450,1750,3,1.75,2691,2,0,3,700,1915,0,98119,47.6386,-122.36
667000,1400,1400,3,1,1581,1.5,0,5,0,1909,0,98112,47.6221,-122.314
438000,1520,790,3,1.75,6380,1,0,3,730,1948,0,98115,47.695,-122.304
687500,2330,1510,4,1.75,5000,1.5,0,4,820,1929,0,98117,47.6823,-122.368
535000,1090,1090,3,1,3000,1.5,0,4,0,1929,0,98117,47.6889,-122.375
322500,2060,1280,4,2.75,6659,1,0,3,780,1981,0,98058,47.4276,-122.157
696000,2300,1510,3,2.5,3060,1.5,0,3,790,1930,2002,98115,47.6827,-122.31
605000,2620,2620,4,2.5,7553,2,0,3,0,1996,0,98056,47.5301,-122.18
775000,4220,2600,4,2.25,24186,1,0,3,1620,1984,0,98166,47.445,-122.347
861990,3595,3595,5,2.75,5639,2,0,3,0,2014,0,98053,47.6848,-122.016
685000,1570,1570,3,1,2280,2,0,3,0,1922,0,98119,47.6413,-122.364
309000,1280,920,3,1,9656,1,0,4,360,1959,0,98058,47.4485,-122.175
488000,3160,3160,3,2.5,13603,2,0,3,0,2003,0,98019,47.7443,-121.977
210490,990,990,3,1,8528,1,0,3,0,1966,0,98023,47.3066,-122.371
450000,1250,1250,3,1.75,5963,1,0,4,0,1953,0,98115,47.6796,-122.301
1350000,2753,2165,3,2.5,65005,1,1,5,588,1953,0,98070,47.4041,-122.451
345000,3150,1640,5,2.5,9134,1,0,4,1510,1966,0,98056,47.4934,-122.189
600000,1410,1000,3,1.75,4080,1,0,4,410,1950,0,98117,47.6808,-122.384
585000,1980,990,2,1.75,8550,1,0,3,990,1981,0,98117,47.6989,-122.369
920000,2730,2130,5,2.25,6000,1.5,0,3,600,1927,0,98105,47.6571,-122.281
885000,2830,2830,4,2.5,5000,2,0,3,0,1995,0,98105,47.6597,-122.29
292500,2250,2250,4,2.5,4495,2,0,3,0,2008,0,98042,47.3663,-122.114
301000,2420,2420,3,2.5,4750,2,0,3,0,2003,0,98042,47.3663,-122.122
951000,3250,3250,5,3.25,14342,2,0,4,0,1968,0,98008,47.588,-122.116
430000,1850,1850,4,3,9976,2,0,3,0,1991,0,98059,47.5059,-122.149
650000,2150,1590,3,2.25,21235,1,0,4,560,1959,0,98166,47.4336,-122.339
505000,2519,2519,3,1.75,8690,2,0,5,0,1973,0,98166,47.4428,-122.344
549000,1540,1540,3,1.75,1044,3,0,3,0,2014,0,98115,47.6765,-122.32
204000,1000,1000,3,1,12070,1,0,4,0,1968,0,98042,47.3621,-122.11
1040000,4770,3070,5,3.25,50094,1,0,4,1700,1973,0,98005,47.6525,-122.16
571000,2750,2250,4,2,7807,1.5,0,5,500,1916,0,98125,47.7168,-122.287
360000,2380,2380,4,2.5,5000,2,0,3,0,2005,0,98038,47.3608,-122.036
349000,1790,1090,3,1.75,50529,1,0,5,700,1965,0,98042,47.3511,-122.073
380000,1760,880,4,1.75,7300,1,0,3,880,1956,0,98008,47.6034,-122.125
480000,1040,1040,3,1,5060,1,0,3,0,1941,0,98116,47.5636,-122.394
390000,2350,2350,3,2.5,5100,2,0,3,0,2003,0,98038,47.3512,-122.008
360000,1900,1900,4,2.5,5889,2,0,3,0,1992,0,98038,47.349,-122.031
356000,1680,1680,3,1.5,8712,1,0,3,0,1964,0,98059,47.4811,-122.149
315000,960,960,3,1,6634,1,0,3,0,1952,0,98125,47.7264,-122.31
940000,2140,1900,3,1.5,3600,2,0,3,240,1925,0,98119,47.6337,-122.365
305000,2660,2660,5,2.25,8400,1.5,0,5,0,1961,0,98092,47.2909,-122.189
461000,2770,1980,3,3.25,6278,2,0,3,790,2006,0,98056,47.5228,-122.199
215000,1610,1610,2,2.25,2040,2,0,4,0,1979,0,98056,47.518,-122.194
243500,1980,1980,4,2.5,7403,2,0,3,0,1988,0,98023,47.2897,-122.372
1100000,3520,3520,5,2.75,6353,2,0,4,0,2001,0,98199,47.6506,-122.391
153000,1200,1200,3,1,10500,1,0,3,0,1962,0,98023,47.322,-122.351
430000,1580,1290,3,1.5,5000,1,0,3,290,1939,0,98117,47.687,-122.386
700000,1580,1290,3,1.5,5000,1,0,3,290,1939,0,98117,47.687,-122.386
247500,1960,1960,3,1.75,15681,1,0,3,0,1967,0,98032,47.3576,-122.277
199000,1160,1160,4,1.5,6400,1,0,4,0,1975,0,98023,47.3036,-122.378
314000,1810,1210,3,1.75,41800,1,0,5,600,1980,0,98038,47.4109,-121.958
437500,2320,2320,3,2.5,36847,2,0,3,0,1992,0,98045,47.4838,-121.714
850830,2070,1270,3,2.5,13241,1.5,0,5,800,1910,0,98102,47.6415,-122.315
555000,1980,1440,3,2,3478,1.5,0,4,540,1929,0,98117,47.6775,-122.372
290000,1210,1210,3,1,33919,1,0,3,0,1954,0,98058,47.4375,-122.184
375000,2340,1460,3,2.5,10005,1,0,4,880,1978,0,98058,47.4431,-122.133
460000,1670,1170,3,1,4005,1.5,0,4,500,1939,0,98117,47.6878,-122.38
188500,1240,1240,2,1.75,2493,1,0,4,0,1985,0,98198,47.3813,-122.322
272500,1540,1160,3,1.75,12600,1,0,4,380,1980,0,98038,47.3624,-122.031
740500,4380,2780,3,3.5,6350,2,0,3,1600,1900,1999,98117,47.6981,-122.368
205425,880,880,2,1,6780,1,0,4,0,1945,0,98178,47.5009,-122.248
660000,2400,1560,3,2.5,6474,1,0,3,840,1964,0,98177,47.7728,-122.386
395000,770,770,2,1,6000,1,0,3,0,1953,0,98117,47.6999,-122.364
445000,2100,1620,3,2.25,8201,1,0,3,480,1967,0,98178,47.5091,-122.244
260000,2160,1360,4,2.25,8811,1,0,3,800,1978,0,98023,47.3129,-122.39
430000,2070,2070,4,2.5,4310,2,0,3,0,2004,0,98065,47.5319,-121.85
212000,1060,1060,3,1.75,7875,1,0,4,0,1986,0,98092,47.2761,-122.152
452000,2590,1340,4,2.25,10002,1,0,4,1250,1968,0,98028,47.7689,-122.266
382500,1190,1190,2,1,4440,1,0,3,0,1981,0,98125,47.7135,-122.287
665000,1110,1110,2,1,3200,1,0,3,0,1925,0,98119,47.6338,-122.358
527700,2820,1550,5,2.5,9375,1,0,4,1270,1968,0,98006,47.5707,-122.128
205000,1610,1010,3,1,8579,1,0,4,600,1962,0,98058,47.4563,-122.171
500000,2030,1380,4,2.25,8517,1,0,4,650,1961,0,98006,47.5495,-122.174
258000,2260,1130,5,2,12500,1,0,4,1130,1960,0,98032,47.3887,-122.286
2250000,5180,3540,4,3.25,19850,2,0,3,1640,2006,0,98006,47.562,-122.162
350000,700,700,1,1,5100,1,0,3,0,1942,0,98115,47.679,-122.3
215000,1180,1180,3,1,7669,1,0,4,0,1967,0,98058,47.4479,-122.176
650000,3960,2500,5,3.5,25245,2,0,3,1460,1996,0,98056,47.525,-122.172
320000,2640,1620,4,2.75,7500,1,0,3,1020,1967,0,98023,47.3135,-122.369
247000,1270,1270,3,2,7198,1.5,0,3,0,1916,2013,98022,47.2086,-121.996
320000,1760,1760,4,1.75,11180,1,0,4,0,1968,0,98059,47.4715,-122.118
255000,2060,1030,5,2.25,8632,1,0,3,1030,1962,0,98146,47.4877,-122.335
269950,1340,700,2,1.75,7250,1,0,5,640,1949,0,98198,47.408,-122.327
807100,2680,2680,4,2.5,4499,2,0,3,0,1999,0,98006,47.565,-122.125
284000,1560,1560,3,1.75,21000,1,0,3,0,1954,0,98166,47.4776,-122.337
272000,2160,1670,3,1.75,7140,1,0,4,490,1978,0,98023,47.3026,-122.374
917500,3880,2570,4,2.5,35003,2,0,3,1310,1984,0,98033,47.6477,-122.182
673000,2590,2590,4,2.25,8190,2,0,4,0,1980,0,98006,47.5619,-122.125
269950,1950,1320,3,1.5,7560,1,0,4,630,1975,0,98022,47.1976,-121.999
330000,1350,1060,2,1,8220,1,0,3,290,1949,0,98177,47.7224,-122.358
163500,1050,1050,2,1.5,3419,2,0,3,0,1996,0,98038,47.3848,-122.039
1100000,4090,2090,5,3,12850,1,0,4,2000,1986,0,98033,47.6627,-122.188
269000,1490,1100,4,1.75,10000,1,0,4,390,1969,0,98023,47.3099,-122.379
166950,1190,1190,3,1,8820,1,0,3,0,1959,0,98058,47.4616,-122.184
256883,1690,1690,3,2.5,5025,2,0,3,0,2003,0,98023,47.2779,-122.347
440000,1910,1910,3,2.5,66211,2,0,3,0,1997,0,98024,47.5385,-121.911
385000,1350,1350,3,1.75,155073,1,0,4,0,1969,0,98038,47.4058,-121.994
210000,860,860,3,1,11725,1,0,4,0,1943,0,98056,47.5093,-122.184
297000,1940,1940,3,2.5,14952,2,0,3,0,1994,0,98042,47.3777,-122.165
226500,1300,900,3,1.5,7370,1,0,4,400,1976,0,98023,47.3025,-122.37
274250,910,910,3,1,8450,1,0,4,0,1962,0,98059,47.4787,-122.158
425000,1010,1010,3,1,5864,1,0,3,0,1915,0,98116,47.5733,-122.381
180250,900,900,2,0.75,9600,1,0,3,0,1941,0,98166,47.4604,-122.339
320000,1550,1550,4,2.25,7579,2,0,3,0,1993,0,98038,47.354,-122.047
625504,1270,1060,3,2.25,1566,2,0,3,210,2014,0,98105,47.6647,-122.284
445838,2250,2250,3,2.5,5692,2,0,3,0,2000,0,98146,47.5133,-122.379
467000,1320,1320,2,1.5,10800,1,0,4,0,1947,0,98177,47.7145,-122.367
279950,1750,1350,3,2,9750,1,0,3,400,1961,0,98198,47.398,-122.299
328000,2020,2020,3,2.25,8379,2,0,3,0,1994,0,98038,47.3828,-122.023
390000,1250,1250,3,2.25,7500,1,0,5,0,1942,0,98146,47.5123,-122.373
